product_id,product_name,category_id,price,stock_quantity
115,Cross-group grid-enabled attitude,5,423.29,12
116,De-engineered tertiary encryption,1,54.36,62
117,Managed discrete task-force,3,455.67,78
118,Exclusive mission-critical info-mediaries,5,12.6,52
119,Sharable dynamic flexibility,1,76.36,35
120,Synergistic discrete installation,1,436.11,4
121,Enterprise-wide cohesive portal,5,485.13,88
122,Multi-lateral clear-thinking database,3,42.04,47
123,Sharable cohesive algorithm,8,391.86,27
124,Synergistic demand-driven initiative,2,136.19,56
125,Object-based bifurcated Graphical User Interface,1,313.51,56
126,Compatible discrete core,5,201.75,30
127,Integrated attitude-oriented help-desk,8,44.76,46
128,Total methodical neural-net,8,167.64,12
129,Digitized well-modulated challenge,8,338.81,87
130,Profit-focused scalable info-mediaries,6,269.14,47
131,Cross-group encompassing collaboration,3,477.3,69
132,Centralized regional Graphical User Interface,1,315.27,82
133,Fully-configurable executive middleware,5,444.28,45
134,Ergonomic interactive pricing structure,8,246.53,7
135,Reduced homogeneous framework,2,272.8,50
136,Front-line multi-state interface,2,310.64,35
137,Decentralized methodical service-desk,7,121.21,24
138,Managed modular orchestration,8,343.78,15
139,Object-based background alliance,2,147.25,58
140,Re-contextualized coherent access,1,117.61,11
141,Front-line 6thgeneration info-mediaries,3,49.74,84
142,Enterprise-wide background success,3,489.28,27
143,Fully-configurable coherent initiative,5,381.38,82
144,Pre-emptive 6thgeneration extranet,2,353.43,81
145,Cloned value-added database,4,54.75,76
146,Polarized holistic architecture,2,87.35,2
147,Balanced holistic frame,7,153.24,6
148,Optional multi-tasking challenge,4,19.33,100
149,Re-engineered explicit challenge,7,165.57,42
150,Devolved real-time attitude,8,32.78,31
151,Phased needs-based project,8,182.44,16
152,Phased 24hour pricing structure,5,218.19,100
153,Balanced clear-thinking methodology,7,125.88,72
154,Operative local infrastructure,5,208.97,26
155,Fundamental contextually-based focus group,1,342.49,8
156,Robust holistic system engine,2,94.13,97
157,Fully-configurable intangible customer loyalty,4,91.66,70
158,Switchable multimedia database,4,306.7,26
159,Pre-emptive cohesive core,5,194.36,75
160,Monitored interactive access,2,343.15,27
161,Front-line 4thgeneration collaboration,3,251.35,29
162,Synergistic content-based concept,4,293.66,42
163,Profound responsive alliance,3,119.93,99
164,Pre-emptive empowering utilization,2,320.76,18
165,Progressive logistical initiative,3,232.49,100
166,Public-key tertiary data-warehouse,1,335.09,76
167,Ameliorated national time-frame,7,449.96,0
168,Reverse-engineered solution-oriented architecture,8,235.3,35
169,Down-sized multimedia database,8,147.38,18
170,Customizable coherent Graphical User Interface,5,275.57,16
171,Down-sized national algorithm,1,41.56,69
172,Multi-channeled object-oriented neural-net,4,472.89,32
173,Public-key incremental alliance,5,493.89,22
174,Proactive content-based adapter,5,153.08,14
175,Exclusive analyzing moratorium,8,481.2,84
176,Proactive asynchronous capacity,2,346.71,3
177,Digitized analyzing artificial intelligence,4,231.13,16
178,Triple-buffered motivating encoding,5,154.55,1
179,Upgradable holistic parallelism,4,499.69,45
180,Profit-focused didactic open architecture,7,427.4,100
181,Integrated systematic artificial intelligence,2,57.79,30
182,Organic asymmetric hardware,4,193.78,75
183,Ergonomic multi-state migration,3,182.68,41
184,Balanced encompassing product,5,151.46,2
185,De-engineered content-based concept,3,351.14,22
186,Fundamental hybrid hardware,2,15.86,33
187,Cross-group maximized help-desk,1,415.87,6
188,Reverse-engineered full-range migration,3,200.92,16
189,Organic logistical throughput,5,9.01,94
190,Pre-emptive methodical conglomeration,5,433.21,53
191,Persistent analyzing focus group,8,390.26,67
192,Proactive well-modulated customer loyalty,2,486.93,14
193,Versatile user-facing complexity,8,455.76,95
194,Upgradable intermediate project,5,373.86,8
195,Team-oriented reciprocal implementation,7,417.26,60
196,Progressive content-based monitoring,5,451.95,57
197,Business-focused well-modulated pricing structure,8,388.99,99
198,De-engineered reciprocal collaboration,8,118.91,46
199,Managed incremental circuit,2,401.96,65
200,Right-sized stable customer loyalty,1,113.41,75
